fid,ID,type,utilFloorArea,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,idBdTopo,nbHousing,unknownNumberOfHousing,idsEntrance,nbPOI,nbWorkingPlace,nbBuildingSimple,nbEntrances,roomLeft
"462",BuildingGroup9088058402764353,BuildingGroup,540.4938,4_Passage Viallet_75111,,,,,,,,,,BATIMENT0000000240744063-BATIMENT0000000240755777-BATIMENT0000000240744065,"8","0",Address3388044343977458,"0","2","3","1",540.4938
"463",BuildingGroup9088058233220407,BuildingGroup,6681.166,16_Rue de la Pierre Levée_75111,,,,,,,,,,BATIMENT0000000240754676,"19","0",Address3388044404673880,"6","34","1","1",3061.166
"464",BuildingGroup9088058113205698,BuildingGroup,1457.2145,52_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240754496,"15","0",Address1888044273235254,"1","4","1","1",1220.2145
"465",BuildingGroup9088057749050364,BuildingGroup,2355.0017,28_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744619-BATIMENT0000000240744620,"95","0",Address4088044258088553,"16","33","2","1",855
"466",BuildingGroup9088057730083708,BuildingGroup,3094.0596,16_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744630,"34","0",Address1288044260845089,"8","23","1","1",975.0596
"467",BuildingGroup9088057643715929,BuildingGroup,1333.3951,2_PASSAGE DU JEU DE BOULES_75111,,,,,,,,,,BATIMENT0000000245187286,"18","0",Address8088044255893453,"6","16","1","1",287.39514
"468",BuildingGroup9088057608016463,BuildingGroup,2791.7786,10_Rue des Boulets_75111,12_Rue des Boulets_75111,,,,,,,,,BATIMENT0000000240747896-BATIMENT0000000240747897-BATIMENT0000000240747883-BATIMENT0000000240747884-BATIMENT0000000240748785,"34","0",Address2588044346705155__Address4688044346654357,"4","19","5","2",1001.77856
"469",BuildingGroup9088057602193378,BuildingGroup,704.95605,276_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748030,"12","0",Address1988044308700152,"3","8","1","1",112.956055
"470",BuildingGroup9088057059479353,BuildingGroup,1148.571,1_Rue de Nemours_75111,,,,,,,,,,BATIMENT0000000240754508,"23","0",Address2188044336173685,"6","7","1","1",207
"471",BuildingGroup9088057043089912,BuildingGroup,932.2801,67_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754528,"11","0",,"4","6","1","0",327.2801
"472",BuildingGroup9088057036948251,BuildingGroup,3524.321,60_Rue de la Folie-méricourt_75111,62_Rue de la Folie-méricourt_75111,,,,,,,,,BATIMENT0000000240754549-BATIMENT0000000240754551,"47","0",Address8388044348444906__Address9888044348482885,"11","16","2","2",1541.321
"473",BuildingGroup9088057034113151,BuildingGroup,2182.5195,48_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240755691,"27","0",Address9788044277667503,"6","11","1","1",1084.5195
"474",BuildingGroup8988061721924022,BuildingGroup,1118.906,25_Rue des Bluets_75111,,,,,,,,,,BATIMENT0000000240756470-BATIMENT0000000240756469,"12","0",Address9888044373422667__Address9888044373422667,"1","7","2","2",652.906
"475",BuildingGroup8988061346658426,BuildingGroup,3177.5042,166_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240755999,"23","0",Address3788044288791189,"6","11","1","1",2048.5042
"476",BuildingGroup8988061288463119,BuildingGroup,4290.9277,53_BIS_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240743913,"49","0",,"7","26","1","0",1137.9277
"477",BuildingGroup8988061195454816,BuildingGroup,1086.9163,62_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744251,"14","0",Address388044259857187,"12","18","1","1",126
"478",BuildingGroup8988061157549352,BuildingGroup,4160.0703,76_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240756893,"15","0",Address6888044325933134,"27","58","1","1",135
"479",BuildingGroup8988060929410213,BuildingGroup,1310.836,125_BIS_Avenue Parmentier_75111,,,,,,,,,,BATIMENT0000000240754813-BATIMENT0000000240754812,"24","0",Address4588044414947626,"6","7","2","1",82.83606
"480",BuildingGroup8988060899224186,BuildingGroup,817.1857,32_P_Rue Emile Lepeu_75111,,,,,,,,,,BATIMENT0000000240748697-BATIMENT0000000240748694-BATIMENT0000000240749188,"13","0",Address7288044319577938__Address7288044319577938,"1","0","3","2",817.1857
"481",BuildingGroup8988060898057532,BuildingGroup,1279.6495,10_Rue Emile Lepeu_75111,,,,,,,,,,BATIMENT0000000240749172-BATIMENT0000000240749171,"24","0",Address088044318969161,"1","3","2","1",1230.6495
"482",BuildingGroup8988060886027985,BuildingGroup,2063.9062,13_RUE CARRIERE MAINGUET_75111,,,,,,,,,,BATIMENT0000000240759235,"58","0",Address1888044250676156,"3","9","1","1",1521.9062
"483",BuildingGroup8988060827963479,BuildingGroup,365.2365,2_Rue Emile Lepeu_75111,,,,,,,,,,BATIMENT0000000240748680,"6","0",Address5088044319148892,"4","5","1","1",110.23651
"484",BuildingGroup8988060827545978,BuildingGroup,1004.3685,9_Rue Emile Lepeu_75111,,,,,,,,,,BATIMENT0000000240747552-BATIMENT0000000240747551,"27","0",Address9488044318956360,"2","5","2","1",758.3685
"485",BuildingGroup8988060685458309,BuildingGroup,1829.4465,90_Rue Oberkampf_75111,,,,,,,,,,BATIMENT0000000240756284,"30","0",Address288044263610649,"8","20","1","1",429.44653
"486",BuildingGroup8988060641806468,BuildingGroup,5443.2812,19_Rue Servan_75111,21_Rue Servan_75111,,,,,,,,,BATIMENT0000000240755980,"95","0",,"3","19","1","0",4745.2812
"487",BuildingGroup8988060640350977,BuildingGroup,6817.3823,51_Rue de la Folie-régnault_75111,12_Rue Merlin_75111,49_Rue de la Folie-régnault_75111,,,,,,,,BATIMENT0000000240756800-BATIMENT0000000253249611-BATIMENT0000000253249613,"34","0",Address288044380444966__Address488044335241202__Address9288044380365739__Address288044380444966,"7","22","3","4",974.3823
"488",BuildingGroup8988060533177209,BuildingGroup,2389.707,24_Rue du Faubourg du Temple_75111,,,,,,,,,,BATIMENT0000000245187908-BATIMENT0000000245187910-BATIMENT0000000245187909-BATIMENT0000000245187911,"27","0",Address6788044412202576,"3","14","4","1",995.70703
"489",BuildingGroup8988060526509348,BuildingGroup,1891.267,8_Rue de la Fontaine au Roi_75111,,,,,,,,,,BATIMENT0000000240755292-BATIMENT0000000240755291,"25","0",Address4688044374061497,"4","11","2","1",1150.267
"490",BuildingGroup8988060487467566,BuildingGroup,1237.77,98_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754854,"16","0",Address9288044349347974,"4","65","1","1",144
"491",BuildingGroup8988060369350586,BuildingGroup,723.8175,49_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240756533,"18","0",Address9588044324795083,"2","9","1","1",120.817505
"492",BuildingGroup8988060364702513,BuildingGroup,730.779,14_Rue du Général Guilhem_75111,,,,,,,,,,BATIMENT0000000240756488,"16","0",Address2988044343240045,"1","2","1","1",692.779
"493",BuildingGroup8988060361287958,BuildingGroup,1476.8496,5_Rue Lacharrière_75111,,,,,,,,,,BATIMENT0000000240756341,"32","0",Address4188044409853528,"6","14","1","1",417.8496
"494",BuildingGroup8988060082673396,BuildingGroup,1983.0245,6_Rue de Vaucouleurs_75111,,,,,,,,,,BATIMENT0000000240757948-BATIMENT0000000240757950,"40","0",Address5588044360614810,"3","15","2","1",1846.0245
"495",BuildingGroup8988060065471000,BuildingGroup,1544.6625,12_Rue de Vaucouleurs_75111,,,,,,,,,,BATIMENT0000000240757965-BATIMENT0000000240757979-BATIMENT0000000240757959,"18","0",Address7588044360076586,"1","1","3","1",1345.6625
"496",BuildingGroup8988060048689590,BuildingGroup,335.988,41_Boulevard de Belleville_75111,,,,,,,,,,BATIMENT0000000240758276,"10","0",Address3388044407177559,"0","0","1","1",335.988
"497",BuildingGroup8988059929726865,BuildingGroup,2040.357,16_Avenue Parmentier_75111,,,,,,,,,,BATIMENT0000000240756036-BATIMENT0000000240756040-BATIMENT0000000240756031,"13","0",Address5688044416447661,"4","25","3","1",117
"498",BuildingGroup8988059896836840,BuildingGroup,2928.2927,93_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240756129,"35","0",Address4588044309399462,"5","21","1","1",1202.2927
"499",BuildingGroup8988059568586856,BuildingGroup,1425.8921,88_BIS_Avenue Parmentier_75111,,,,,,,,,,BATIMENT0000000240758855-BATIMENT0000000240757156,"14","0",Address6888044416569357,"10","13","2","1",126
"500",BuildingGroup8988059511478698,BuildingGroup,726.71173,18_Impasse Saint-sébastien_75111,,,,,,,,,,BATIMENT0000000245186728,"9","0",Address8788044293659711,"0","3","1","1",726.71173
"501",BuildingGroup8988059384868378,BuildingGroup,9239.071,6_Rue Popincourt_75111,8_Rue Popincourt_75111,,,,,,,,,BATIMENT0000000240755831,"99","0",Address4288044269431960__Address2088044269531832,"9","42","1","2",7763.0713
"502",BuildingGroup8988059266874483,BuildingGroup,5135.7085,13_Rue Faidherbe_75111,,,,,,,,,,BATIMENT0000000240744884-BATIMENT0000000240744885-BATIMENT0000000240744107,"21","0",Address988044338676013,"5","10","3","1",4505.7085
"503",BuildingGroup8988059254821177,BuildingGroup,904.5361,219_RUE DU FAUBOURG SAINT ANTOINE_75111,,,,,,,,,,BATIMENT0000000240744192,"0","0",Address4588044242445549,"3","3","1","1",0
"504",BuildingGroup8988059236952236,BuildingGroup,309.587,6_Rue de la Forge Royale_75111,,,,,,,,,,BATIMENT0000000240744145,"6","0",Address2888044300172866,"2","4","1","1",191.587
"505",BuildingGroup8988059095899191,BuildingGroup,807.177,14_BIS_Rue Louis Bonnet_75111,,,,,,,,,,BATIMENT0000000240758126,"14","0",Address5588044331105988,"2","5","1","1",585.177
"506",BuildingGroup8988059095348465,BuildingGroup,1040.6549,30_Rue du Moulin Joly_75111,,,,,,,,,,BATIMENT0000000240757703,"12","0",Address7688044320279091,"0","1","1","1",1040.6549
"507",BuildingGroup8988059091076705,BuildingGroup,2592.4575,25_Rue du Moulin Joly_75111,91_Rue de la Fontaine au Roi_75111,,,,,,,,,BATIMENT0000000240758243,"0","0",Address4688044320890884__Address7588044374580035,"4","8","1","2",0
"508",BuildingGroup8988059088777906,BuildingGroup,912.37305,5_Rue de la Présentation_75111,,,,,,,,,,BATIMENT0000000240758223,"21","0",Address5188044370898755,"12","18","1","1",189
"509",BuildingGroup8988059043662235,BuildingGroup,2504.134,98_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240754593,"15","0",Address3388044272323535,"4","13","1","1",1608.134
"510",BuildingGroup8988059003277958,BuildingGroup,4672.6455,5_Impasse Piver_75111,,,,,,,,,,BATIMENT0000000240758146-BATIMENT0000000240758140,"2","0",Address1288044286228018,"0","0","2","1",4672.6455
"511",BuildingGroup8988058956247934,BuildingGroup,878.5005,17_Rue des Boulets_75111,,,,,,,,,,BATIMENT0000000240747875-BATIMENT0000000240748958-BATIMENT0000000240748969-BATIMENT0000000240748959,"4","0",Address9688044345857729,"6","9","4","1",203.50049
"512",BuildingGroup8988058870945558,BuildingGroup,8060.4995,142_Rue de la Roquette_75111,12_Rue Auguste Laurent_75111,16_Rue Auguste Laurent_75111,,,,,,,,BATIMENT0000000240756014-BATIMENT0000000240757133-BATIMENT0000000253249598-BATIMENT0000000240757134,"53","0",Address7688044287719631,"16","21","4","1",5223.4995
"513",BuildingGroup8988058862699942,BuildingGroup,2355.1672,61_Rue Léon Frot_75111,,,,,,,,,,BATIMENT0000000240744024-BATIMENT0000000240744029-BATIMENT0000000240744853-BATIMENT0000000240757053-BATIMENT0000000253242113-BATIMENT0000000253242119-BATIMENT0000000240744852,"58","0",Address9388044385537086,"3","9","7","1",1312.1672
"514",BuildingGroup8988058748789389,BuildingGroup,2138.4045,3_COUR SAINT LOUIS_75111,,,,,,,,,,BATIMENT0000000356564169,"29","0",Address5088044422579389,"0","0","1","1",2138.4045
"515",BuildingGroup8988058714735730,BuildingGroup,111.90675,5_Cité Industrielle_75111,,,,,,,,,,BATIMENT0000000240755974,"0","0",Address7688044318307608,"0","0","1","1",111.90675
"516",BuildingGroup8988058515285986,BuildingGroup,553.5795,53_BIS_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000240757855,"15","0",Address5488044418888109,"1","4","1","1",553.5795
"517",BuildingGroup8988058369040735,BuildingGroup,654.02405,156_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240744042,"7","0",,"2","5","1","0",245.02405
"518",BuildingGroup8988058277774726,BuildingGroup,7586.6924,2_Passage Saint-pierre-amelot_75111,,,,,,,,,,BATIMENT0000000253252374-BATIMENT0000000309676042,"0","0",Address3088044421256828,"0","0","2","1",7586.6924
"519",BuildingGroup8988058191991993,BuildingGroup,2123.5042,25_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240754879,"25","0",Address4588044276924146,"8","15","1","1",270.50415
"520",BuildingGroup8988057810604377,BuildingGroup,4128.807,43_Rue Sedaine_75111,,,,,,,,,,BATIMENT0000000240755660,"0","0",Address1788044297214721,"14","19","1","1",0
"521",BuildingGroup8988057645823514,BuildingGroup,2259.8398,16_Rue de Crussol_75111,,,,,,,,,,BATIMENT0000000245187312,"25","0",Address1488044318543580,"2","9","1","1",1770.8398
"522",BuildingGroup8988057645451365,BuildingGroup,802.3278,2_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000245187308,"16","0",Address3588044420595118,"2","1","1","1",423.32782
"523",BuildingGroup8988057595254658,BuildingGroup,2667.3555,282_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748035,"15","0",Address4888044309411658,"4","37","1","1",2228.3555
"524",BuildingGroup8988057072096329,BuildingGroup,908.61597,53_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754506,"9","0",Address388044348365872,"3","5","1","1",65.61597
"525",BuildingGroup8988057052642378,BuildingGroup,1372.427,47_A_Rue Oberkampf_75111,,,,,,,,,,BATIMENT0000000240754644-BATIMENT0000000240754552-BATIMENT0000000240754555-BATIMENT0000000240754559,"6","0",Address388044265603118__Address388044265603118,"0","0","4","2",1372.427
"526",BuildingGroup8988057028371621,BuildingGroup,854.42004,28_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240754665,"6","0",Address4888044277007119,"4","8","1","1",106.420044
"527",BuildingGroup8888061823106622,BuildingGroup,6092.3877,25_Avenue Parmentier_75111,,,,,,,,,,BATIMENT0000000240756395-BATIMENT0000000240756403-BATIMENT0000000240756405-BATIMENT0000000240757225-BATIMENT0000000240756396,"87","0",Address1888044417155784__Address1888044417155784,"9","23","5","2",4124.3877
"528",BuildingGroup8888061733131922,BuildingGroup,719.712,25_Passage de Ménilmontant_75111,,,,,,,,,,BATIMENT0000000240756434,"0","0",Address9588044301156514,"2","5","1","1",0
"529",BuildingGroup8888061363807248,BuildingGroup,5295.1943,5_Rue Maillard_75111,7_Rue Maillard_75111,,,,,,,,,BATIMENT0000000240755989,"119","0",Address3788044386432919__Address2288044386484207,"8","46","1","2",3921.1943
"530",BuildingGroup8888061228343644,BuildingGroup,1647.0281,18_Passage de la Main d'Or_75111,,,,,,,,,,BATIMENT0000000240744246,"6","0",Address8288044359449680,"4","9","1","1",1145.0281
"531",BuildingGroup8888061214378977,BuildingGroup,505.12952,33_Rue Trousseau_75111,,,,,,,,,,BATIMENT0000000240744257,"0","0",Address8088044291720251,"1","3","1","1",0
"532",BuildingGroup8888061149102721,BuildingGroup,3200.9556,42_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240757279-BATIMENT0000000240757280,"21","0",Address2388044324456254,"2","10","2","1",912.95557
"533",BuildingGroup8888060769309775,BuildingGroup,3019.5315,196_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240743560,"21","0",Address9988044308559727,"1","6","1","1",2201.5315
"534",BuildingGroup8888060686707960,BuildingGroup,2131.8342,75_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240757079-BATIMENT0000000240757080,"42","0",Address8888044278613582,"7","11","2","1",948.8342
"535",BuildingGroup8888060605427773,BuildingGroup,2087.4302,31_Rue de Montreuil_75111,31_BIS_Rue de Montreuil_75111,,,,,,,,,BATIMENT0000000240744268,"25","0",,"8","17","1","0",242.43018
"536",BuildingGroup8888060398386149,BuildingGroup,1224.1531,6_Rue Rochebrune_75111,,,,,,,,,,BATIMENT0000000240756837,"29","0",Address5888044317589379,"5","10","1","1",90.153076
"537",BuildingGroup8888060367906721,BuildingGroup,1331.4017,53_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240756518,"40","0",Address2788044324963885,"6","20","1","1",421.40173
"538",BuildingGroup8888060326934056,BuildingGroup,1351.5723,34_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240754470,"17","0",Address1388044272662375,"1","5","1","1",1102.5723
"539",BuildingGroup8888059977990969,BuildingGroup,1873.7615,13_Boulevard de Ménilmontant_75111,15_Boulevard de Ménilmontant_75111,,,,,,,,,BATIMENT0000000240760219-BATIMENT0000000240760220,"15","0",Address9788044322333674__Address9788044322333674__Address7788044322501929,"8","10","2","3",408.76147
"540",BuildingGroup8888059844397791,BuildingGroup,1202.8988,6_Rue Amelot_75111,,,,,,,,,,BATIMENT0000000245197827,"13","0",,"1","8","1","0",1095.8988
"541",BuildingGroup8888059707025229,BuildingGroup,488.733,4_Impasse des Jardiniers_75111,,,,,,,,,,BATIMENT0000000240748513,"6","0",Address488044344049000,"1","2","1","1",418.733
"542",BuildingGroup8888059599570426,BuildingGroup,3193.6074,88_TER_Avenue Parmentier_75111,43_Avenue de la République_75111,,,,,,,,,BATIMENT0000000240758882-BATIMENT0000000240757155-BATIMENT0000000240757154-BATIMENT0000000240758854-BATIMENT0000000240758881,"103","0",Address5988044277491849__Address488044416609266,"19","30","5","2",927
"543",BuildingGroup8888059511808302,BuildingGroup,668.66956,38_Rue Saint-sébastien_75111,,,,,,,,,,BATIMENT0000000245187461-BATIMENT0000000245187462,"8","0",Address7988044316674823,"1","5","2","1",554.66956
"544",BuildingGroup8888059420204270,BuildingGroup,1236.0828,23_Rue du Grand Prieuré_75111,,,,,,,,,,BATIMENT0000000245187793,"12","0",Address7388044285948034,"1","9","1","1",1096.0828
"545",BuildingGroup8888059245418091,BuildingGroup,1211.6239,90_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744923-BATIMENT0000000240744924,"27","0",Address9088044261386196,"7","16","2","1",243
"546",BuildingGroup8888059066776570,BuildingGroup,1871.2451,49_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240754586,"22","0",Address388044305562161,"6","11","1","1",612.2451
"547",BuildingGroup8888058984413576,BuildingGroup,170.39099,13_Passage Piver_75111,,,,,,,,,,BATIMENT0000000240758163,"0","0",Address3288044331708830,"0","0","1","1",170.39099
"548",BuildingGroup8888058890584574,BuildingGroup,950.691,14_Rue de Belfort_75111,,,,,,,,,,BATIMENT0000000253249595,"25","0",Address1188044301639428,"0","6","1","1",950.691
"549",BuildingGroup8888058756399922,BuildingGroup,429.505,45_Rue de Lappe_75111,,,,,,,,,,BATIMENT0000000240743331,"6","0",Address5288044382636426,"2","2","1","1",337.505
"550",BuildingGroup8888058746741631,BuildingGroup,581.383,9_BIS_Passage Thièré_75111,,,,,,,,,,BATIMENT0000000240743344,"5","0",Address188044334590817,"1","3","1","1",294.383
"551",BuildingGroup8888058669520572,BuildingGroup,1669.7656,98_Avenue Philippe-auguste_75111,,,,,,,,,,BATIMENT0000000240748753-BATIMENT0000000240748751,"20","0",Address4588044356061512,"4","9","2","1",1487.7656
"552",BuildingGroup8888058669092792,BuildingGroup,357.42078,173_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000253242265-BATIMENT0000000240748755,"4","0",Address788044261623641,"0","6","2","1",357.42078
"553",BuildingGroup8888058649278033,BuildingGroup,699.754,23_Rue Godefroy Cavaignac_75111,,,,,,,,,,BATIMENT0000000240744492,"7","0",Address2988044310226927,"0","3","1","1",699.754
"554",BuildingGroup8888058515990148,BuildingGroup,738.7222,55_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000240757859,"10","0",Address1888044418900977,"5","12","1","1",130.72223
"555",BuildingGroup8888058507798530,BuildingGroup,1060.6216,3_RUE DES 3 COURONNES_75111,,,,,,,,,,BATIMENT0000000240757746,"14","0",Address9388044254585912,"0","20","1","1",791.6216
"556",BuildingGroup8888058415988304,BuildingGroup,1595.9686,130_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240755797,"25","0",Address3888044303048483,"10","33","1","1",225
"557",BuildingGroup8888058392932083,BuildingGroup,1192.0145,22_Rue Godefroy Cavaignac_75111,,,,,,,,,,BATIMENT0000000240744402-BATIMENT0000000240744404,"33","0",Address088044310202338,"10","22","2","1",100.01453
"558",BuildingGroup8888058304850495,BuildingGroup,3323.3726,56_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000245187490,"35","0",Address3688044306126477,"7","24","1","1",1041.3726
"559",BuildingGroup8888058299665533,BuildingGroup,867.8968,13_Rue Saint-sébastien_75111,,,,,,,,,,BATIMENT0000000245187443,"22","0",Address2988044316118739,"0","0","1","1",867.8968
"560",BuildingGroup8888057988183576,BuildingGroup,612.4845,16_Rue des Bluets_75111,,,,,,,,,,BATIMENT0000000240756438,"12","0",Address6188044373170109,"2","4","1","1",147.4845
"561",BuildingGroup8888057914579613,BuildingGroup,1476.4501,14_Rue de la Petite Pierre_75111,16_Rue de la Petite Pierre_75111,,,,,,,,,BATIMENT0000000240747581,"36","0",,"1","5","1","0",1382.4501
"562",BuildingGroup8888057740179033,BuildingGroup,762.37354,77_RUE DU FAUBOURG SAINT ANTOINE_75111,,,,,,,,,,BATIMENT0000000240744644,"0","0",,"4","7","1","0",0
"563",BuildingGroup8888057721930826,BuildingGroup,3445.3008,119_RUE DU FAUBOURG SAINT ANTOINE_75111,,,,,,,,,,BATIMENT0000000240743584-BATIMENT0000000240743589,"43","0",Address9588044244043033,"6","15","2","1",2373.3008
"564",BuildingGroup8888057710040519,BuildingGroup,817.802,103_Avenue Ledru Rollin_75111,,,,,,,,,,BATIMENT0000000240744636,"9","0",Address4288044399335820,"2","8","1","1",119.802
"565",BuildingGroup8888057657469186,BuildingGroup,2118.9226,5_Rue de Crussol_75111,,,,,,,,,,BATIMENT0000000245187279,"20","0",Address6088044318810686,"15","21","1","1",130.9226
"566",BuildingGroup8888057563189554,BuildingGroup,30678.15,108_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000253249351-BATIMENT0000000253249338-BATIMENT0000000253249350-BATIMENT0000000240758919,"272","0",,"36","75","4","0",23519.15
"567",BuildingGroup8888057437358757,BuildingGroup,443.82324,19_Cité Beauharnais_75111,,,,,,,,,,BATIMENT0000000240748233-BATIMENT0000000240748234-BATIMENT0000000240748235,"5","0",Address8388044292484335__Address8388044292484335,"0","0","3","2",443.82324
"568",BuildingGroup888061718877694,BuildingGroup,1354.2031,29_Passage de Ménilmontant_75111,,,,,,,,,,BATIMENT0000000240756436,"42","0",Address5288044301195724,"2","4","1","1",976.2031
"569",BuildingGroup888061706786749,BuildingGroup,1247.8936,19_Rue des Bluets_75111,,,,,,,,,,BATIMENT0000000240756464,"19","0",Address8688044373262291,"15","22","1","1",171
"570",BuildingGroup888061705418453,BuildingGroup,290.34302,20_Rue des Bluets_75111,,,,,,,,,,BATIMENT0000000240756457,"11","0",Address388044373287938,"1","2","1","1",290.34302
"571",BuildingGroup888061654975126,BuildingGroup,4799.78,19_Rue des Taillandiers_75111,,,,,,,,,,BATIMENT0000000240743350,"3","0",Address3088044390072830,"2","23","1","1",27
"572",BuildingGroup888061426135329,BuildingGroup,912.13513,30_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240756730,"21","0",Address2588044327805417,"4","11","1","1",509.13513
"573",BuildingGroup888061362570250,BuildingGroup,937.58405,15_Rue Gerbier_75111,,,,,,,,,,BATIMENT0000000240755983,"19","0",Address988044383435428,"1","7","1","1",638.58405
"574",BuildingGroup888061329518690,BuildingGroup,3213.5952,10_Rue Deguerry_75111,,,,,,,,,,BATIMENT0000000240757397-BATIMENT0000000240757393,"35","0",Address7988044332459210,"9","18","2","1",1420.5952
"575",BuildingGroup888061323020532,BuildingGroup,1465.5869,57_Rue de la Fontaine au Roi_75111,,,,,,,,,,BATIMENT0000000240757395-BATIMENT0000000240757391-BATIMENT0000000240757392,"28","0",,"13","33","3","0",252
"576",BuildingGroup888061320112408,BuildingGroup,4207.334,12_Rue des Goncourt_75111,14_Rue des Goncourt_75111,,,,,,,,,BATIMENT0000000240755109,"81","0",Address7888044370438626__Address6188044370527812,"13","31","1","2",1320.334
"577",BuildingGroup888061293333830,BuildingGroup,3646.1687,40_Rue Sedaine_75111,,,,,,,,,,BATIMENT0000000240757038-BATIMENT0000000240757039,"57","0",Address4688044297110343,"12","28","2","1",1828.1687
"578",BuildingGroup888061201159007,BuildingGroup,1941.0813,10_Rue Trousseau_75111,,,,,,,,,,BATIMENT0000000240744695-BATIMENT0000000240744216,"0","0",Address2388044291218917,"1","5","2","1",0
"579",BuildingGroup888061112473029,BuildingGroup,2449.4067,115_Rue du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000240756598,"37","0",Address3588044395720059,"12","21","1","1",229.40674
"580",BuildingGroup888060977071414,BuildingGroup,3649.9084,52_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240756229,"18","0",Address1088044277802376,"13","30","1","1",1215.9084
"581",BuildingGroup888060751419514,BuildingGroup,2955.5269,31_Rue Chanzy_75111,,,,,,,,,,BATIMENT0000000309679711-BATIMENT0000000253242085,"18","0",Address6588044342359083,"2","8","2","1",1082.5269
"582",BuildingGroup888060741558737,BuildingGroup,1530.6078,3_Rue Jules Vallés_75111,,,,,,,,,,BATIMENT0000000240744345,"28","0",Address3888044347488631,"3","15","1","1",416.6078
"583",BuildingGroup888060644666241,BuildingGroup,940.36774,45_Rue de la Folie-régnault_75111,,,,,,,,,,BATIMENT0000000240756806,"26","0",Address9488044380261019,"2","10","1","1",809.36774
"584",BuildingGroup888060566916134,BuildingGroup,1092.3606,24_Rue Paul Bert_75111,,,,,,,,,,BATIMENT0000000240744211,"13","0",Address9088044377942591,"3","9","1","1",117
"585",BuildingGroup888060566251622,BuildingGroup,1050.5023,22_Rue Paul Bert_75111,,,,,,,,,,BATIMENT0000000240744210,"18","0",Address7988044377891222,"2","8","1","1",136.50232
"586",BuildingGroup888060432401837,BuildingGroup,612.1785,2_Passage Basfroi_75111,,,,,,,,,,BATIMENT0000000240743931-BATIMENT0000000240744595,"14","0",Address9388044285426942,"1","5","2","1",462.17853
"587",BuildingGroup888060301286926,BuildingGroup,1414.9186,6_Rue Pelée_75111,,,,,,,,,,BATIMENT0000000245186337,"19","0",Address788044382960596,"4","8","1","1",988.9186
"588",BuildingGroup888060097194449,BuildingGroup,1120.2661,89_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000240757946-BATIMENT0000000240757940,"23","0",Address1488044420038051,"2","4","2","1",178.26611
"589",BuildingGroup888060085748531,BuildingGroup,1087.4264,53_Boulevard de Belleville_75111,,,,,,,,,,BATIMENT0000000240758281,"11","0",Address6988044407343792,"3","6","1","1",500.4264
"590",BuildingGroup888059697853999,BuildingGroup,785.8166,223_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748448,"0","0",Address3788044304219540,"1","4","1","1",0
"591",BuildingGroup888059651356699,BuildingGroup,1486.8158,243_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748462,"27","0",Address9488044306088510,"6","10","1","1",681.8158
